epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best,fg_mscb_alpha1_mean,fg_mscb_alpha1_std,fg_mscb_alpha3_mean,fg_mscb_alpha3_std,fg_mscb_alpha5_mean,fg_mscb_alpha5_std,fg_mscb_guidance_strength
1,1.2497959887159282,0.23839913947241648,0.1355731604354722,8.4e-06,8.399999999999998e-05,32.469637870788574,True,0.9999808834750077,9.740518976599161e-05,1.0000286230958741,0.0001264450946677738,0.9999904929358384,8.259380984339867e-05,0.0
2,0.8898629516851707,0.2539443245955876,0.14573097229003906,1.3799999999999998e-05,0.00013799999999999997,58.6143901348114,True,0.9999803424703664,9.062613277825962e-05,1.0000178548385357,0.00011290141282445235,1.0000018003069122,7.567508637545283e-05,0.0
3,0.8085139061583847,0.3073853424617222,0.1820669174194336,1.9199999999999996e-05,0.00019199999999999995,84.4332811832428,True,0.9999785325444978,9.25742371664363e-05,1.0000228494200214,0.00012034493369360659,0.9999986134726425,8.129528843567203e-05,0.0
4,0.7455080190642935,0.3796620411532266,0.23501907927649363,2.4599999999999995e-05,0.00024599999999999996,110.33040809631348,True,0.9999841243234174,9.224234994173966e-05,1.0000184928959814,0.00011116067900295549,0.9999973831094544,7.535658713523381e-05,0.0
5,0.5627734934697386,0.43259468248912264,0.27709721454552244,2.9999999999999997e-05,0.0003,136.554260969162,True,1.0000040036645428,8.438573924752946e-05,0.999993089519698,8.874569479520339e-05,1.0000029086655584,6.670102892897183e-05,0.0
6,0.45804715156555176,0.39405945794922964,0.24684732300894602,2.999811826208493e-05,0.0002999805986332205,162.54970145225525,False,1.0000020123350208,7.751607885042022e-05,0.9999886819411968,7.890231582159739e-05,1.0000093001332777,6.236473800412957e-05,0.0
7,0.43128846365897383,0.3069845885038376,0.1825666448899678,2.9992473536744915e-05,0.00029992239956850794,187.86430621147156,False,1.0000053936859656,7.52254208882519e-05,0.9999854982721395,7.966298719931482e-05,1.000009104835576,6.224383118761925e-05,0.0
8,0.39328848778224385,0.48676687479019165,0.32254835963249207,2.9983067289068734e-05,0.0002998254179114328,213.00562953948975,True,1.0000106688203483,7.744457136422792e-05,0.9999760392205469,8.02621615134309e-05,1.000013288999426,6.0998261682464964e-05,0.0
9,0.3679519066067993,0.664235668522971,0.4981888788087027,2.9969901960448513e-05,0.00029968967883358983,239.0184450149536,True,1.0000015567500016,7.597258145918516e-05,0.9999711983368315,8.355547368630044e-05,1.0000272466396463,6.871220181159009e-05,0.0
10,0.35264528432830433,0.7617426599775042,0.6159302421978542,2.9952980967946045e-05,0.0002995152175660644,264.95815110206604,True,0.9999946449953935,7.412581901688549e-05,0.9999756982819787,8.396613117027529e-05,1.0000296601755865,6.783460375577084e-05,0.0
11,0.34094713701576485,0.8057952693530491,0.675398451941354,2.9932308703405904e-05,0.00029930207939028844,290.96374917030334,True,0.9999914326749999,7.686429746432084e-05,0.9999755810458084,8.125736901989907e-05,1.0000329870191114,7.26324969860704e-05,0.0
12,0.324460079191161,0.8255512799535479,0.7035288981028965,2.990789053231554e-05,0.0002990503196262878,317.58066296577454,True,0.9999872054724858,7.969124700067575e-05,0.9999738790249002,7.871654196729228e-05,1.0000389162425338,7.889651042594108e-05,0.0
13,0.3151221094561405,0.8418538400105068,0.7274037855012077,2.987973279241265e-05,0.00029876000361832354,343.3849756717682,True,0.9999801388691212,8.037370823874913e-05,0.9999748444146124,8.665992535902283e-05,1.0000450180316793,9.044592813223297e-05,0.0
14,0.31644836947566174,0.8552641613142831,0.7475700293268476,2.9847842792040242e-05,0.00029843120671793215,369.49565386772156,True,0.9999882365095204,8.827451141648073e-05,0.9999664358846072,9.195902183808992e-05,1.0000453276058723,0.00010090686181508858,0.0
15,0.2992498505799497,0.8642276695796421,0.761350657258715,2.9812228808249737e-05,0.00029806401426436796,395.4582841396332,True,0.9999864905867083,8.331879451625384e-05,0.9999734159173637,8.717644481135941e-05,1.0000400986342595,9.888174354641392e-05,0.0
16,0.29212326104523706,0.872263525213514,0.7738780975341797,2.977290008465267e-05,0.0002976585215624534,421.1498453617096,True,0.9999793721889627,7.733256269293945e-05,0.9999835703290743,8.194395487998796e-05,1.0000370550566706,9.06098840542684e-05,0.0
17,0.29346863314753674,0.879568065915789,0.7854026300566537,2.9729866829021498e-05,0.0002972148338578424,446.8423454761505,True,0.9999640439296591,8.644630070343532e-05,0.9999752574542473,0.00010229871378105901,1.0000607054809043,0.00011351748411588275,0.0
18,0.28250763601944096,0.8853813494954791,0.7947254776954651,2.9683140210640187e-05,0.000296733066309704,472.7535629272461,True,0.999940615810197,0.00010465405867070365,0.9999573256229533,0.00013111588223621858,1.0001020569636905,0.0001553352224367165,0.0
19,0.26736974716186523,0.889407753944397,0.8012393968445914,2.963273235740521e-05,0.00029621334396083305,498.46887826919556,True,0.999961777144465,0.00011453459869813001,0.999954209656551,0.00012659138117205245,1.0000840163230895,0.0001464004972817755,0.0
