epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best
1,1.2811302982392858,0.18172863125801086,0.10006735154560634,1e-05,0.0001,33.166290521621704,True
2,0.9886944860708519,0.1234760337642261,0.065819329981293,1e-05,0.0001,56.34045338630676,False
3,0.9670669944559942,0.1326667900596346,0.07115250080823898,1e-05,0.0001,77.72858762741089,False
4,0.8363691236152023,0.28985984197684694,0.16988373228481837,1e-05,0.0001,98.58784985542297,True
5,0.6227827160084833,0.5243161065237862,0.35578095061438425,1e-05,0.0001,120.14116549491882,True
6,0.5778793589990647,0.6832555277006966,0.5193474079881396,1e-05,0.0001,141.6287877559662,True
7,0.5475537132044308,0.7334286825997489,0.5795523950031826,1e-05,0.0001,162.789813041687,True
8,0.5302224315580775,0.7541309084211077,0.6056987983839852,1e-05,0.0001,184.1414279937744,True
9,0.5084036212475573,0.766235385622297,0.6213977677481515,1e-05,0.0001,205.38400435447693,True
10,0.49254263766476364,0.7756741898400443,0.6338766302381244,1e-05,0.0001,226.4304838180542,True
11,0.7440922543650768,0.7788882425853184,0.6381633792604718,9.999444846167474e-06,9.99938933078422e-05,254.01975011825562,True
12,0.657555030994728,0.7794060111045837,0.6388976148196629,9.997779521645793e-06,9.997557473810371e-05,281.58404541015625,True
13,0.6363261996722612,0.7853484920092991,0.6469103693962097,9.995004437328866e-06,9.994504881061753e-05,309.2066128253937,True
14,0.5885519077543353,0.7929522139685494,0.6572490589959281,9.991120277927224e-06,9.990232305719945e-05,336.993040561676,True
15,0.575880523099274,0.8023309792791095,0.6701611280441284,9.986128001799078e-06,9.984740801978984e-05,364.6322531700134,True
16,0.5574119652880997,0.8105408123561314,0.6816521627562386,9.980028840713862e-06,9.978031724785246e-05,392.2162983417511,True
17,0.5455829188471935,0.8172696913991656,0.691195683819907,9.972824299548312e-06,9.97010672950314e-05,419.7701349258423,True
18,0.5358599683300393,0.8223552703857422,0.6984827263014657,9.964516155915153e-06,9.960967771506666e-05,447.26538276672363,True
19,0.509243263572943,0.8276129790714809,0.7061032993452889,9.95510645972451e-06,9.950617105696959e-05,474.85580372810364,True
20,0.513431184115957,0.8329862100737435,0.7139789462089539,9.94459753267812e-06,9.939057285945931e-05,502.59274315834045,True
21,0.4948424350042812,0.8367605805397034,0.7195513589041573,9.932991967696484e-06,9.92629116446613e-05,530.1388490200043,True
22,0.4881924991724921,0.8398742760930743,0.7241638898849487,9.920292628279101e-06,9.912321891107009e-05,557.7557151317596,True
23,0.47902934863919117,0.842639650617327,0.7282924226352147,9.906502647797948e-06,9.89715291257774e-05,585.1490969657898,True
24,0.48389244861290104,0.845203867980412,0.7321358833994184,9.891625428724366e-06,9.880787971596799e-05,612.70383644104,True
25,0.46695392542198055,0.8472267304147992,0.7351693170411246,9.875664641789547e-06,9.863231105968498e-05,640.4308342933655,True
26,0.46961743274673085,0.849775527204786,0.7390189341136387,9.858624225078841e-06,9.844486647586723e-05,668.6862416267395,True
27,0.46105477360428354,0.8519785233906337,0.7423587271145412,9.840508383060093e-06,9.824559221366101e-05,696.0648698806763,True
28,0.44803856288800475,0.8547259654317584,0.7465356843812125,9.821321585546246e-06,9.803453744100869e-05,723.834794998169,True
29,0.4516813544953456,0.8570023689951215,0.7500265666416713,9.801068566592487e-06,9.781175423251735e-05,751.560399055481,True
30,0.4362625367328769,0.8589198504175458,0.7529681324958801,9.779754323328193e-06,9.757729755661011e-05,779.1151437759399,True
31,0.4381836423131286,0.8603492464338031,0.7551689658846173,9.757384114723955e-06,9.73312252619635e-05,806.787918806076,True
32,0.4257209882384441,0.8620085886546544,0.7577558755874634,9.733963460294016e-06,9.707359806323416e-05,834.3436934947968,True
33,0.4282458678620761,0.8630538838250297,0.7593877741268703,9.709498138734405e-06,9.680447952607844e-05,861.926687002182,True
34,0.4166941628104351,0.8640328049659729,0.7609139936310905,9.683994186497132e-06,9.652393605146843e-05,889.3503265380859,True
35,0.41319199810262586,0.865443766117096,0.7631142650331769,9.65745789630079e-06,9.623203685930868e-05,917.1613340377808,True
36,0.4086947695153659,0.868036150932312,0.7671552726200649,9.629895815577915e-06,9.592885397135704e-05,944.8570241928101,True
37,0.40827963977563575,0.8709417751857212,0.7717186808586121,9.601314744859504e-06,9.561446219345451e-05,972.6321806907654,True
38,0.4002003713709409,0.8734123110771179,0.7756077987807137,9.571721736097089e-06,9.528893909706794e-05,1000.0982201099396,True
39,0.3959353615026005,0.8754844324929374,0.7788932493754795,9.541124090922771e-06,9.495236500015045e-05,1027.8116023540497,True
40,0.3993007653072232,0.8767931120736259,0.7809670141765049,9.509529358847657e-06,9.460482294732418e-05,1055.4635953903198,True
41,0.39522193445534004,0.879596871989114,0.7854014720235553,9.476945335399123e-06,9.424639868939032e-05,1083.0988729000092,True
42,0.3928209758195721,0.8811235087258475,0.7878438064030239,9.443380060197387e-06,9.387718066217123e-05,1110.6803741455078,True
43,0.3829587776152814,0.8824652348245893,0.7899870957647052,9.408841814971862e-06,9.349725996469046e-05,1138.3310368061066,True
44,0.3816357425978926,0.8838742545672825,0.7922405770846775,9.373339121517748e-06,9.31067303366952e-05,1165.905389547348,True
45,0.377662294712223,0.8856443762779236,0.7950961249215263,9.336880739593417e-06,9.270568813552755e-05,1193.5971882343292,True
