epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best,fg_mscb_stage1_alpha1_mean,fg_mscb_stage1_alpha1_std,fg_mscb_stage1_alpha3_mean,fg_mscb_stage1_alpha3_std,fg_mscb_stage1_alpha5_mean,fg_mscb_stage1_alpha5_std,fg_mscb_stage1_sample_count,fg_mscb_stage1_guidance_strength,fg_mscb_stage2_alpha1_mean,fg_mscb_stage2_alpha1_std,fg_mscb_stage2_alpha3_mean,fg_mscb_stage2_alpha3_std,fg_mscb_stage2_alpha5_mean,fg_mscb_stage2_alpha5_std,fg_mscb_stage2_sample_count,fg_mscb_stage2_guidance_strength,fg_mscb_stage3_alpha1_mean,fg_mscb_stage3_alpha1_std,fg_mscb_stage3_alpha3_mean,fg_mscb_stage3_alpha3_std,fg_mscb_stage3_alpha5_mean,fg_mscb_stage3_alpha5_std,fg_mscb_stage3_sample_count,fg_mscb_stage3_guidance_strength
1,1.3365268305290576,0.22744925816853842,0.12869909529884657,8.4e-06,8.399999999999998e-05,38.312634229660034,True,0.9996513660200711,0.0001544017194394299,1.0002483465753753,0.00012319989954827904,1.0001002888432864,4.6618850377941675e-05,1450,0.05006019026041031,1.0000835732344924,7.481707787033652e-05,0.9996893727779388,0.00015132791137815744,1.000227059043687,0.00013411985401595917,1450,0.04981578513979912,1.000010605639425,2.2080869895415492e-05,1.0000565673153976,4.0700048219765786e-05,0.999932826757431,4.176931354679222e-05,1450,0.05000276118516922
2,0.893610022638155,0.2321879118680954,0.13172059382001558,1.3799999999999998e-05,0.00013799999999999997,66.11740255355835,True,0.9999838410163748,0.00035833682030265627,0.9994384146147761,0.0006860966752305017,1.0005777455198355,0.00045372255924998306,1450,0.05126124620437622,1.0005550587588343,0.00029513824839128217,0.9990868734491283,0.0002285980477246396,1.0003580730536887,0.0003345636406075102,1450,0.04981841892004013,1.0003146331885766,0.0002744963863242844,1.0001331793028734,8.62872224729682e-05,0.9995521908792956,0.0002472704092905998,1450,0.04995858296751976
3,0.8114225203576295,0.28227629760901135,0.16475200653076172,1.9199999999999996e-05,0.00019199999999999995,93.88175415992737,True,0.9958103959313754,0.005236401722186603,0.9931288096822541,0.007966464308946661,1.0110607890425056,0.013144125377365642,1450,0.06319859623908997,1.0005680840590905,0.0003801302566906707,0.9977923475462814,0.0007178895030900468,1.0016395624752703,0.0005408742760519473,1450,0.05096421390771866,1.0001959645337073,0.0002644159571030292,1.000111879151443,0.000203327584405468,0.9996921584523958,0.00018239027900091454,1450,0.049820493906736374
4,0.7416597216025643,0.3099762399991353,0.18369763096173605,2.4599999999999995e-05,0.00024599999999999996,121.34271597862244,True,0.9622588038238986,0.053370927151168986,0.9459954289526775,0.07325225710748735,1.0917457666890376,0.1261187095755872,1450,0.07455448061227798,0.9983534261687048,0.002221877702209665,0.9991300660577314,0.002885223585536278,1.002516507979097,0.0015253118152299815,1450,0.04979059100151062,0.9982207455717285,0.0014602094112554447,1.0002841928498498,0.0006213175751615134,1.00149506663454,0.001866932195206134,1450,0.05131838098168373
5,0.7083449273005776,0.2571874087055524,0.14807304615775743,2.9999999999999997e-05,0.0003,149.07388162612915,False,0.8787655239500877,0.13621243222982904,0.7922395327706532,0.17931322287185025,1.3289949399027332,0.31381684325225595,1450,0.08203165233135223,0.9874399656673958,0.013125150793613129,0.9909118631790425,0.010935553641084677,1.0216481736610676,0.023378440012732538,1450,0.06992203742265701,0.9919435981635389,0.0032142620341466073,0.9961799232713108,0.0038931428140305145,1.0118764784418304,0.006761127759250483,1450,0.05947692692279816
6,0.544197427837745,0.18846487005551657,0.1052039364973704,2.999811826208493e-05,0.0002999805986332205,175.8149127960205,False,0.8478508441715404,0.11962665945564192,0.7371270404589073,0.16634583355309224,1.4150221162828907,0.28497813888654017,1450,0.07927753776311874,0.9615235904167438,0.02344116297942688,0.9437575297109012,0.025674096095977202,1.094718884928473,0.040587470509866094,1450,0.0705312192440033,1.0048904331388144,0.009230211979274842,0.9895419065705661,0.006076398094874935,1.0055676674020702,0.009771299887322104,1450,0.050702858716249466
7,0.45751776837784314,0.24623383954167366,0.14249405823647976,2.9992473536744915e-05,0.00029992239956850794,202.64120721817017,False,0.8885457201661735,0.08950955136776237,0.816792589199954,0.12629121396379972,1.294661688969053,0.21537075754478738,1450,0.0796649232506752,0.9736797368115392,0.006012162662276321,0.944649838702432,0.020954939196447104,1.0816704285555871,0.026368308797395008,1450,0.07013541460037231,1.0162455962444175,0.01836594198805394,0.9986546230316162,0.004992046599192484,0.9850997794085535,0.015427130786628057,1450,0.04971770569682121
8,0.40678794781366984,0.537075807650884,0.3686963965495427,2.9983067289068734e-05,0.0002998254179114328,229.61302828788757,True,0.8860512848147031,0.09148679344363676,0.8215618008580701,0.12277536255903462,1.2923869155193197,0.21373787791264326,1450,0.07950668036937714,0.9544592036461008,0.016149194313713606,0.9460925033174712,0.019048225855030767,1.0994482919265485,0.033343200771920094,1450,0.07468827813863754,1.0093219288875317,0.01655786675393759,1.0019602738166677,0.005063462761747365,0.9887177936373086,0.013494716347496166,1450,0.048737287521362305
9,0.388369281006896,0.7324729760487875,0.5789235532283783,2.9969901960448513e-05,0.00029968967883358983,258.8571448326111,True,0.8974299946838412,0.0880650814423723,0.8475355590982684,0.11767657557094865,1.2550344518135335,0.2052837701499944,1450,0.08038931339979172,0.937684691075621,0.020023493601389192,0.957246814349602,0.015813542617761897,1.1050684993020419,0.03366482937392323,1450,0.07603227347135544,1.0140558840899632,0.017156680504097747,1.0018201441600405,0.007083209926323293,0.9841239696535571,0.013521572448751457,1450,0.047657135874032974
10,0.367395184610201,0.79776002963384,0.664432297150294,2.9952980967946045e-05,0.0002995152175660644,287.53787636756897,True,0.9273057366239613,0.07546208351881237,0.8796397155728833,0.12032781958038061,1.193054546898809,0.19536358426712777,1450,0.08060114085674286,0.913591255853916,0.03379349140315422,0.9565902129535018,0.0181546379121714,1.1298185305759825,0.05003289258355918,1450,0.07709452509880066,1.016444846967171,0.02108615269962811,1.0019223506697292,0.00764256132316295,0.9816328032674461,0.016333951141799637,1450,0.04675336182117462
