epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best
1,1.0159299044773495,0.23923962882586888,0.13611774465867452,1e-05,0.0001,29.82849431037903,True
2,0.8569002903875758,0.26525112773690906,0.15322590725762503,1e-05,0.0001,51.12954306602478,True
3,0.8264315059927644,0.2721852660179138,0.15782277286052704,1e-05,0.0001,72.16517472267151,True
4,0.5549938678741455,0.3886175623961857,0.24189101798193796,1e-05,0.0001,93.22120213508606,True
5,0.4552675563780988,0.5503774966512408,0.3805482089519501,1e-05,0.0001,114.61051034927368,True
6,0.4237179922275856,0.6853172779083252,0.5218581131526402,1e-05,0.0001,135.47843146324158,True
7,0.40253099603731124,0.7324154376983643,0.5784676926476615,1e-05,0.0001,156.43715381622314,True
8,0.3990049508751416,0.7578047343662807,0.6105483855519976,1e-05,0.0001,176.97533249855042,True
9,0.37588969654724247,0.774803740637643,0.6327528868402753,1e-05,0.0001,197.2678244113922,True
10,0.37073518653384974,0.7858823537826538,0.6475907904761178,1e-05,0.0001,217.5717465877533,True
11,0.6004496485483451,0.7921050190925598,0.6560388633183071,9.99886705724128e-06,9.998753762965408e-05,243.8356614112854,True
12,0.5267343867997654,0.7953490700040545,0.6604778170585632,9.995468799435916e-06,9.995015679379507e-05,269.970769405365,True
13,0.49114707503162447,0.8005084650857108,0.6676095979554313,9.989806937709053e-06,9.988787631479958e-05,296.2571678161621,True
14,0.4739863906727462,0.8076187201908657,0.6775365812437875,9.981884322978577e-06,9.980072755276433e-05,322.73883724212646,True
15,0.4492288065738365,0.8144768221037728,0.6872173803193229,9.971704944519593e-06,9.968875438971552e-05,348.8056080341339,True
16,0.4293958017083465,0.8194032226290021,0.6942463772637504,9.959273927955708e-06,9.955201320751277e-05,373.5516345500946,True
17,0.42141364197262,0.8237232395580837,0.7004689999989101,9.94459753267812e-06,9.939057285945933e-05,398.0378782749176,True
