epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best,fg_mscb_alpha1_mean,fg_mscb_alpha1_std,fg_mscb_alpha3_mean,fg_mscb_alpha3_std,fg_mscb_alpha5_mean,fg_mscb_alpha5_std,fg_mscb_guidance_strength
1,1.0674614673953946,0.06837624524320875,0.03542654003415789,8.4e-06,8.399999999999998e-05,34.46147704124451,True,1.0001808260638139,6.560098435970526e-05,1.000201276910716,0.00013594631098089592,0.9996179061100401,0.00016460236656471868,0.04996912553906441
2,0.9128853825272106,0.09635929337569646,0.05065809775676046,1.3799999999999998e-05,0.00013799999999999997,62.2651047706604,True,0.999770800039686,0.0005466048475300106,1.0002721217582966,0.00023739782826510115,0.9999570828881758,0.0004087776976312632,0.04979990795254707
3,0.8259109854698181,0.2268796988895961,0.12807806261948176,1.9199999999999996e-05,0.00019199999999999995,90.17284822463989,True,0.9995070993078166,0.0006723397357309026,1.0005561758731973,0.0004091754459871145,0.999936725641119,0.0008412078905370021,0.0498029887676239
4,0.7682090157368144,0.3399847831044878,0.2052615795816694,2.4599999999999995e-05,0.00024599999999999996,125.10254192352295,True,0.9959836725119887,0.002369775494576231,1.000159586503588,0.0010490806827739875,1.0038567349828522,0.0031973913828323825,0.061442892998456955
5,0.6755852362171548,0.36826897518975393,0.2262452244758606,2.9999999999999997e-05,0.0003,153.37881135940552,True,0.987220160385658,0.008875291940565043,0.9909928139324846,0.006954430481302906,1.0217870273261234,0.015598953835949812,0.07322736829519272
6,0.5121949185927709,0.44560027973992483,0.28737387486866545,2.999811826208493e-05,0.0002999805986332205,181.9517993927002,True,1.0090684670826484,0.03000512138557695,0.9865847264898234,0.006537108208292539,1.0043468089350338,0.033642884088894785,0.07337076961994171
7,0.4347284607222823,0.6098482353346688,0.4410265641553061,2.9992473536744915e-05,0.00029992239956850794,210.48469018936157,True,1.169014483073662,0.15567669662262892,1.0221377769831954,0.03177314397391039,0.8088477435964962,0.16965588715737193,0.08418343961238861
8,0.39659911345263,0.6455794402531215,0.4795937495572226,2.9983067289068734e-05,0.0002998254179114328,238.94007086753845,True,1.3011482473899578,0.21118690700073278,0.9707278171078912,0.0439845966343224,0.7281239273733107,0.17311925402631337,0.0855318158864975
9,0.3855546028887639,0.7156573619161334,0.5592310215745654,2.9969901960448513e-05,0.00029968967883358983,267.53969168663025,True,1.264658833248862,0.2098922642928068,0.9718951267209547,0.03633753754656693,0.763446043185119,0.17868750450674664,0.08592601120471954
10,0.36827368570155783,0.7792448827198574,0.6397606730461121,2.9952980967946045e-05,0.0002995152175660644,296.4176650047302,True,1.2078241740012992,0.2298302871585615,0.9796187763378538,0.030167705912063553,0.8125570518189463,0.20942978653595792,0.08803952485322952
11,0.3538428503470343,0.8156010934284755,0.6898596457072667,2.9932308703405904e-05,0.00029930207939028844,324.9509665966034,True,0.8273393110095941,0.26597164401944184,0.8955687063572736,0.1438951202680562,1.2770919871535795,0.39904751287741413,0.09778695553541183
12,0.3399907233285122,0.8364588873726981,0.7200863701956612,2.990789053231554e-05,0.0002990503196262878,353.1132037639618,True,0.5375810792694543,0.36837331008745655,0.5711087265882866,0.2849819836641367,1.8913101940319457,0.6410884656292525,0.11791098117828369
13,0.3246376582833587,0.8491507683481488,0.7390404428754535,2.987973279241265e-05,0.00029876000361832354,380.25577330589294,True,0.36580196581629787,0.4066679018138556,0.33815343176531637,0.319534912375543,2.2960446077264076,0.7174825074545234,0.14800193905830383
14,0.3232303686806413,0.8602700403758458,0.7560374992234367,2.9847842792040242e-05,0.00029843120671793215,406.35043263435364,True,0.3154251933428656,0.42967699055826625,0.27252706164123497,0.32090148875249375,2.412047743761334,0.7407989646372094,0.16801775991916656
15,0.31172647290542477,0.8673477172851562,0.7669820615223476,2.9812228808249737e-05,0.00029806401426436796,432.57056856155396,True,0.4321779195396139,0.6079169402619793,0.27585114214480805,0.3185694177838422,2.2919709367807233,0.8926422418165187,0.17845876514911652
16,0.30004350254770185,0.8733245815549578,0.7764031120709011,2.977290008465267e-05,0.0002976585215624534,459.279109954834,True,0.5205379771769226,0.7174652595782207,0.2677102173352883,0.3086962563621151,2.2117518035863357,0.9734667633321811,0.1965673714876175
17,0.287600891267667,0.8768282873289925,0.7819350446973529,2.9729866829021498e-05,0.0002972148338578424,485.4944715499878,True,0.5030099596118274,0.8084848418226108,0.18918425786761833,0.26713235889960013,2.3078057791757374,1.00878033350853,0.213780477643013
18,0.28627733910670045,0.8798254132270813,0.7867676445416042,2.9683140210640187e-05,0.000296733066309704,511.72192096710205,True,0.4842681452414501,0.829022219721836,0.14563217452978117,0.23793490454350455,2.370099676293,0.9965746460931486,0.23132622241973877
19,0.28518923555241255,0.8821394869259426,0.7904467753001622,2.963273235740521e-05,0.00029621334396083305,538.2069292068481,True,0.4926334506037642,0.8318576024192113,0.1476764257233687,0.23702877153022567,2.359690128789859,1.0053856257026619,0.24022530019283295
20,0.2727773392298182,0.8859882695334298,0.7964721322059631,2.9578656352677758e-05,0.0002956558017051948,564.2572617530823,True,0.6973309079181518,1.0338126323409271,0.13173299612073297,0.21402661713383198,2.170936092406282,1.1553050324149228,0.24663937091827393
21,0.25993133592801015,0.8894512738500323,0.8019024559429714,2.952092623188796e-05,0.00029506058425291383,590.4553933143616,True,0.49467446264971165,0.8578863038469975,0.1354894806269008,0.22223570112348323,2.369836054537814,1.0134429976443822,0.25404220819473267
22,0.2614443143371676,0.8943379010472979,0.8097581778253827,2.9459556978891967e-05,0.0002944278460927138,616.873753786087,True,0.18105515896136395,0.48802579084105463,0.08444655864066528,0.1975468626639532,2.734498286206759,0.6580874361841453,0.25772368907928467
23,0.25614975124108985,0.898649913924081,0.8168376088142395,2.9394564522082912e-05,0.00029375775145182043,643.5706408023834,True,0.4022022354705586,0.7763504257791158,0.13887617606760705,0.23200138591360475,2.4589215872798404,0.9508294609129478,0.2591845691204071
24,0.2563283262682743,0.9015238966260638,0.8216173052787781,2.932596573025668e-05,0.0002930504742533362,669.6525087356567,True,0.2897707100094423,0.6757463247298596,0.10206576864916041,0.20776825588079542,2.6081635172988773,0.8350782194815063,0.266367107629776
25,0.25153462393362014,0.9038823843002319,0.8256490486008781,2.925377840823361e-05,0.00029230619807109836,695.856226682663,True,0.22930338505823525,0.6030157916398361,0.08563822286574604,0.19216813446709435,2.685058390934117,0.7564242775095625,0.2693665623664856
26,0.24013164639472961,0.9048041020120893,0.827311635017395,2.9178021292237275e-05,0.0002915251160820327,722.0864562988281,True,0.16019042137784187,0.49681200095968187,0.07415203676139921,0.18324190390008802,2.7656575394090197,0.6507413384667943,0.27225545048713684
27,0.24567191986764064,0.9051011715616498,0.8279232808521816,2.9098714045031468e-05,0.00029070743101601424,748.4229710102081,True,0.21037890783830085,0.5756329973654671,0.09450649591106018,0.2115490742655919,2.695114602907882,0.7538613894314349,0.2724335193634033
28,0.24115727182294502,0.906161904335022,0.8296659163066319,2.9015877250816737e-05,0.0002898533551032486,774.8911955356598,True,0.20723472555288536,0.5550932095017588,0.10616703717590575,0.22745610883464773,2.6865982388957548,0.7473889989786906,0.2758522033691406
29,0.23730007058284322,0.9069567833627973,0.8309195978300912,2.892953240988776e-05,0.00028896311001918776,801.0891861915588,True,0.32264693305018566,0.6651077739860505,0.18920944321114488,0.2937731278529856,2.4881436175831135,0.912307632614499,0.2754499316215515
30,0.22994562934656612,0.9065579090799604,0.8303258844784328,2.8839701933052952e-05,0.0002880369268269944,827.349990606308,False,0.3066953462093065,0.6589765565905313,0.17933412507930668,0.29412540215468425,2.5139705338068947,0.9049000759605532,0.2762867212295532
31,0.22845778211218412,0.9054450052125114,0.8285761731011527,2.874640913581771e-05,0.000287075045917569,852.834141254425,False,0.318617022776122,0.6579909374286191,0.20394345599673883,0.3007404093378805,2.4774395236489863,0.9020216423745545,0.28125515580177307
32,0.21655747587563562,0.9027638861111232,0.8239700453622001,2.8649678232332905e-05,0.0002860777169471567,878.3036346435547,False,0.22553242304884052,0.5587718726124,0.1645576641625246,0.2839764681247216,2.6099099114055924,0.793819801119233,0.2804693281650543
