epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best,fg_mscb_alpha1_mean,fg_mscb_alpha1_std,fg_mscb_alpha3_mean,fg_mscb_alpha3_std,fg_mscb_alpha5_mean,fg_mscb_alpha5_std,fg_mscb_guidance_strength
1,1.1889979128251995,0.23869686680180685,0.1364686212369374,8.4e-06,8.399999999999998e-05,31.282723903656006,True,0.9999768714658145,0.00016350325044510631,0.9999550772124324,0.0001320204917125222,1.0000680506640467,0.0001898732088355656,0.04986153542995453
2,0.8791510404133406,0.25900682381221224,0.1497198971254485,1.3799999999999998e-05,0.00013799999999999997,57.017831563949585,True,0.9996278049616978,0.0003359866941445635,1.0000350751959044,0.0002407691706968878,1.0003371276526616,0.0002523198813397143,0.04981423541903496
3,0.7962980309470755,0.30195023332323345,0.17885222605296544,1.9199999999999996e-05,0.00019199999999999995,83.7786238193512,True,0.996601350965171,0.0019318123277298187,0.9991747599223565,0.00040449368289791814,1.0042238925243245,0.0022332050416691046,0.0596347376704216
4,0.7341364475547291,0.3614541334765298,0.22179537372929709,2.4599999999999995e-05,0.00024599999999999996,111.68436121940613,True,0.9836533832961115,0.008338967528139845,0.9925041623773246,0.006523304191811192,1.0238424589716155,0.014541218105065628,0.07570153474807739
5,0.5533874523444254,0.41233849099704195,0.26098355438028065,2.9999999999999997e-05,0.0003,139.43712496757507,True,0.9957482494568003,0.011353168834044082,0.98083726619852,0.006089184572624149,1.0234144860300525,0.013346219499868748,0.0678272470831871
6,0.4662978522113112,0.5981143202100482,0.42787887368883404,2.999811826208493e-05,0.0002999805986332205,166.49491834640503,True,1.0202015163980682,0.00885749896957594,0.9732282476178531,0.0060569512837996406,1.0065702372994916,0.005638787357991062,0.06698232144117355
7,0.4179754999817395,0.7406865017754691,0.5900269023009709,2.9992473536744915e-05,0.00029992239956850794,193.47860288619995,True,1.0385677929582267,0.020313124688841465,0.9734152901172638,0.007997104095709615,0.9880169202541483,0.017567636450456548,0.06815915554761887
8,0.38258310248617267,0.7799462931496757,0.6408724188804626,2.9983067289068734e-05,0.0002998254179114328,220.47935891151428,True,1.061266904370538,0.06390337761235185,0.9728552770614624,0.017548126992071943,0.9658778225553447,0.0475352570169537,0.06990339607000351
9,0.3697284806947239,0.811219334602356,0.6834818891116551,2.9969901960448513e-05,0.00029968967883358983,247.43375897407532,True,1.0701591042403518,0.08974417620022622,0.9736093771868739,0.019313412289400096,0.9562315198470807,0.07105915123175167,0.07085379958152771
10,0.3521910642014175,0.8325845514025006,0.7140773364475795,2.9952980967946045e-05,0.0002995152175660644,273.47943902015686,True,1.0170001629303242,0.057643226525888394,0.979350405314873,0.005554088100644042,1.0036494290828706,0.057135987534358834,0.07550860196352005
11,0.33800584126691346,0.8469394189970834,0.7353610992431641,2.9932308703405904e-05,0.00029930207939028844,299.05409574508667,True,0.6588334326413942,0.28026582883124584,0.7986765667063923,0.21411743065502245,1.5424900054109507,0.4882824893877182,0.10512886196374893
12,0.33006953093849245,0.8567203198160444,0.7502399597849164,2.990789053231554e-05,0.0002990503196262878,324.7783114910126,True,0.2198561788688544,0.22580057399101186,0.30857918412831575,0.2527844024330165,2.471564638779081,0.4768177821594484,0.12222081422805786
13,0.3141469430239474,0.8641802838870457,0.76172993012837,2.987973279241265e-05,0.00029876000361832354,350.4353561401367,True,0.1377705071979901,0.20077378400311166,0.18380426366514693,0.2253582519744378,2.678425227033681,0.42506689289474897,0.14132533967494965
14,0.3092963285133487,0.8700063058308193,0.770829609462193,2.9847842792040242e-05,0.00029843120671793215,375.93629813194275,True,0.26165954638587946,0.3634164887633588,0.2779060628153197,0.310976142143513,2.460434392030383,0.6677553073899839,0.15451599657535553
15,0.2925747464426228,0.8751921228000096,0.7789845296314785,2.9812228808249737e-05,0.00029806401426436796,401.7104570865631,True,0.23300873796167137,0.34420251927888446,0.25405564918440343,0.32746986294766933,2.51293561780745,0.6679402640078378,0.1693352907896042
16,0.29388591769288797,0.8800022091184344,0.7866547107696533,2.977290008465267e-05,0.0002976585215624534,427.4530689716339,True,0.7054514509773444,0.7092875693866284,0.5167899684466374,0.4455351202197178,1.7777585828951115,1.105775397853407,0.18421204388141632
17,0.28064436184578256,0.883648327418736,0.7925379020827157,2.9729866829021498e-05,0.0002972148338578424,453.00339365005493,True,0.5376832753105137,0.7106148034417378,0.32827839294065025,0.388488828852579,2.134038325551614,1.0728413145131677,0.19636908173561096
18,0.2748343201934314,0.8870727505002703,0.7981122987610954,2.9683140210640187e-05,0.000296733066309704,478.3609621524811,True,0.25348385275012414,0.540650522612704,0.15179641162062713,0.2887082117187154,2.594719736527906,0.8101053847307289,0.20924675464630127
19,0.2680423289048867,0.8901541147913251,0.803097665309906,2.963273235740521e-05,0.00029621334396083305,504.3041548728943,True,0.383014535148085,0.6738332518424311,0.2217995518218597,0.34633902551143675,2.3951859060988725,0.9967505039994153,0.21725991368293762
20,0.27180685176224006,0.8935672300202506,0.8086341960089547,2.9578656352677758e-05,0.0002956558017051948,530.2334127426147,True,0.48801679350388133,0.7499255436138168,0.29965388493420103,0.3991972391561809,2.21232931228086,1.1104415004515709,0.22219176590442657
21,0.2566278229971401,0.8958368727139064,0.8124490891184125,2.952092623188796e-05,0.00029506058425291383,555.6831262111664,True,0.30002150103400144,0.5480438733537966,0.2779547336183223,0.44964436657010864,2.4220237641393285,0.9860737375739164,0.2307358682155609
22,0.2553592595409174,0.8985302533422198,0.8168958255222866,2.9459556978891967e-05,0.0002944278460927138,581.4545731544495,True,0.2342308666873413,0.4968457387085308,0.21456829190337437,0.3941071164298743,2.551200834776094,0.8810818919427671,0.23511900007724762
