frame_index,source_filename,dice,iou,precision,recall,specificity,pixel_accuracy
0,cju0qkwl35piu0993l0dewei2.jpg,0.7804051172707889,0.6398888092449169,0.6591449358882006,0.9563388377926422,0.835885474472808,0.8658984375
1,cju0qkwl35piu0993l0dewei2.jpg,0.7821466637678239,0.6422338720914031,0.6582557547952909,0.963485054347826,0.834003884572697,0.8662662760416666
2,cju0qkwl35piu0993l0dewei2.jpg,0.7828535303898808,0.6431876112992773,0.6596742857654464,0.9625966764214047,0.8352004716981132,0.866943359375
3,cju0qkwl35piu0993l0dewei2.jpg,0.782794717173433,0.6431082153666344,0.65927217453505,0.9632760242474916,0.8347886029411765,0.8668033854166667
4,cju0qkwl35piu0993l0dewei2.jpg,0.7828459211294517,0.6431773386126179,0.6592530348810184,0.9634719899665551,0.8347409128745837,0.86681640625
5,cju0qkwl35piu0993l0dewei2.jpg,0.7825450301084967,0.642771231348487,0.658820271392966,0.963485054347826,0.8344200887902331,0.8665787760416667
6,cju0qkwl35piu0993l0dewei2.jpg,0.7827970001433052,0.6431112971587044,0.6592142314396817,0.9634066680602007,0.8347235710321864,0.866787109375
7,cju0qkwl35piu0993l0dewei2.jpg,0.7827642207385549,0.6430670491903346,0.6591555086790969,0.9634327968227425,0.8346758809655938,0.8667578125
8,cju0qkwl35piu0993l0dewei2.jpg,0.7827642207385549,0.6430670491903346,0.6591555086790969,0.9634327968227425,0.8346758809655938,0.8667578125
9,cju0qkwl35piu0993l0dewei2.jpg,0.7827642207385549,0.6430670491903346,0.6591555086790969,0.9634327968227425,0.8346758809655938,0.8667578125
10,cju0qoxqj9q6s0835b43399p4.jpg,0.9491440175534557,0.9032103669845525,0.9383771957086561,0.9601607815203013,0.9783143177125259,0.9736686197916666
11,cju0qoxqj9q6s0835b43399p4.jpg,0.9496393830211339,0.9041079488990793,0.9390054341743661,0.9605169431159052,0.978541805200714,0.9739290364583333
12,cju0qoxqj9q6s0835b43399p4.jpg,0.94918644217041,0.9032872055161847,0.9387884593851475,0.9598173399816832,0.9784761838098904,0.973701171875
13,cju0qoxqj9q6s0835b43399p4.jpg,0.9421865341267412,0.8906925129270654,0.9253099819713749,0.9596901394118246,0.9733577153256571,0.9698600260416667
14,cju0qoxqj9q6s0835b43399p4.jpg,0.9481575507741806,0.9014254477674357,0.9369473422752111,0.9596392591838812,0.9777893465859377,0.97314453125
15,cju0qoxqj9q6s0835b43399p4.jpg,0.9483171490525125,0.9017139988525531,0.93728335548957,0.9596138190699094,0.9779162146081966,0.973232421875
16,cju0qoxqj9q6s0835b43399p4.jpg,0.9482879983910705,0.9016612883948847,0.9372142715165971,0.9596265391268953,0.9778899660518672,0.9732161458333334
17,cju0qoxqj9q6s0835b43399p4.jpg,0.9482879983910705,0.9016612883948847,0.9372142715165971,0.9596265391268953,0.9778899660518672,0.9732161458333334
18,cju0qoxqj9q6s0835b43399p4.jpg,0.9482879983910705,0.9016612883948847,0.9372142715165971,0.9596265391268953,0.9778899660518672,0.9732161458333334
19,cju0qoxqj9q6s0835b43399p4.jpg,0.9482879983910705,0.9016612883948847,0.9372142715165971,0.9596265391268953,0.9778899660518672,0.9732161458333334
20,cju0qx73cjw570799j4n5cjze.jpg,0.9608236017903405,0.9246010623852613,0.9340473629919013,0.9891803316791986,0.9728242438492808,0.9774055989583333
21,cju0qx73cjw570799j4n5cjze.jpg,0.9588526991998196,0.920957772702179,0.9307100740594882,0.9887503341197252,0.9713591947656147,0.97623046875
22,cju0qx73cjw570799j4n5cjze.jpg,0.9584527785443547,0.9202201866611872,0.9298437329253634,0.9888781712320012,0.9709703237125429,0.975986328125
