frame_index,source_filename,dice,iou,precision,recall,specificity,pixel_accuracy
0,cju0qkwl35piu0993l0dewei2.jpg,0.7804051172707889,0.6398888092449169,0.6591449358882006,0.9563388377926422,0.835885474472808,0.8658984375
1,cju0qkwl35piu0993l0dewei2.jpg,0.7821466637678239,0.6422338720914031,0.6582557547952909,0.963485054347826,0.834003884572697,0.8662662760416666
2,cju0qkwl35piu0993l0dewei2.jpg,0.7828535303898808,0.6431876112992773,0.6596742857654464,0.9625966764214047,0.8352004716981132,0.866943359375
3,cju0qkwl35piu0993l0dewei2.jpg,0.782794717173433,0.6431082153666344,0.65927217453505,0.9632760242474916,0.8347886029411765,0.8668033854166667
4,cju0qkwl35piu0993l0dewei2.jpg,0.7828459211294517,0.6431773386126179,0.6592530348810184,0.9634719899665551,0.8347409128745837,0.86681640625
5,cju0qoxqj9q6s0835b43399p4.jpg,0.9490638870377589,0.9030652532842,0.9382691494915845,0.9601099012923577,0.9782749448780317,0.9736263020833333
6,cju0qoxqj9q6s0835b43399p4.jpg,0.9497371982500865,0.9042852861851963,0.9400740196139515,0.9596010990129236,0.9789617821019844,0.9740071614583333
7,cju0qoxqj9q6s0835b43399p4.jpg,0.9425057494250575,0.8912632375189108,0.9263882063882064,0.9591940571893762,0.973786441745704,0.9700520833333334
8,cju0qoxqj9q6s0835b43399p4.jpg,0.9485890458363482,0.9022057855492921,0.9385326012525056,0.958863335707744,0.9784018129002905,0.9734016927083333
9,cju0qoxqj9q6s0835b43399p4.jpg,0.9486414719170411,0.9023006391994446,0.9386596269270042,0.9588378955937723,0.978449935253561,0.9734309895833333
10,cju0qx73cjw570799j4n5cjze.jpg,0.9552851225076655,0.9143979310418835,0.9226854358419058,0.990272757911374,0.9677146590821739,0.974033203125
11,cju0qx73cjw570799j4n5cjze.jpg,0.9558566899531464,0.9154458786986382,0.9241168301362729,0.9898543819075621,0.9683748355211098,0.9743912760416666
12,cju0qx73cjw570799j4n5cjze.jpg,0.9528144676948542,0.9098812371838687,0.9182465859731189,0.9900868130207909,0.9657024774703485,0.9725325520833333
13,cju0qx73cjw570799j4n5cjze.jpg,0.9526455854727615,0.9095732755399447,0.917902970361033,0.9901216776877753,0.9655442159952612,0.9724283854166667
14,cju0qx73cjw570799j4n5cjze.jpg,0.9524528217511851,0.9092218866394168,0.9175650787838319,0.9900984345764524,0.9653904762766049,0.9723111979166666
15,cju0roawvklrq0799vmjorwfv.jpg,0.9297173906054078,0.8686653248820931,0.8823960208721126,0.9824019024970273,0.9861249617482404,0.9857682291666666
16,cju0roawvklrq0799vmjorwfv.jpg,0.929414978228385,0.8681374756115864,0.8817145296018536,0.9825717683030406,0.9860313574424423,0.9856998697916667
17,cju0roawvklrq0799vmjorwfv.jpg,0.9280141274682935,0.8656962290711954,0.8797138943844164,0.9819262782401903,0.9857721455186939,0.9854036458333333
18,cju0roawvklrq0799vmjorwfv.jpg,0.9287286161754076,0.8669405625862172,0.8808348567946375,0.9821301172074062,0.9859197523086062,0.985556640625
19,cju0roawvklrq0799vmjorwfv.jpg,0.9287710843373495,0.8670145762101854,0.8809385951546549,0.9820961440462035,0.9859341529710367,0.98556640625
20,cju0rx1idathl0835detmsp84.jpg,0.9459826559398182,0.897501982553529,0.9678764231118713,0.9250574712643678,0.9979104737070839,0.9932682291666667
21,cju0rx1idathl0835detmsp84.jpg,0.9429202964503965,0.8920049200492005,0.9602754237288136,0.9261813537675606,0.9973924380704041,0.9928548177083333
22,cju0rx1idathl0835detmsp84.jpg,0.9431537320810677,0.892422825070159,0.9609797476407592,0.9259770114942528,0.9974411125597566,0.9928873697916667
