epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best,fg_mscb_alpha1_mean,fg_mscb_alpha1_std,fg_mscb_alpha3_mean,fg_mscb_alpha3_std,fg_mscb_alpha5_mean,fg_mscb_alpha5_std
1,1.2497689980885078,0.23839900961944036,0.13557307847908565,8.4e-06,8.399999999999998e-05,37.057656049728394,True,1.000205474516441,0.0001799425900290498,0.9995579542784855,0.00022040605946250234,1.0002365818105894,0.0001578947415766382
2,0.8899113447939764,0.25400704996926443,0.14577223999159677,1.3799999999999998e-05,0.00013799999999999997,63.02203440666199,True,1.0009598719662633,0.0002095230123602511,0.9985909258497172,0.0005253011275443249,1.00044920954211,0.00044412347401966504
3,0.8085465382357113,0.3077035929475512,0.18229017513138907,1.9199999999999996e-05,0.00019199999999999995,88.73648619651794,True,1.0011868021817043,0.0006089159022321374,0.9957125519472977,0.0017752223359229716,1.0031006568053673,0.0021199942016502282
4,0.7455916776031745,0.3798093923500606,0.23513385014874594,2.4599999999999995e-05,0.00024599999999999996,114.56544542312622,True,0.9909821363564195,0.008540208656496831,0.9689834786694626,0.0274898107525034,1.0400343805345995,0.03489398331260597
5,0.5620661206909867,0.43223163911274504,0.2768064907618931,2.9999999999999997e-05,0.0003,140.41991519927979,True,1.0317461818662184,0.03414022113663127,0.9332161437642985,0.032382999459398994,1.0350376714098042,0.024438606570000188
6,0.4598427683603568,0.36967713492257254,0.2282910943031311,2.999811826208493e-05,0.0002999805986332205,166.2098138332367,False,1.2882355858539714,0.18870713595143754,0.8273045554448818,0.09416507226541349,0.8844598604481796,0.09540125556026423
7,0.4316339693108543,0.2947561251265662,0.1739989263670785,2.9992473536744915e-05,0.00029992239956850794,191.25838470458984,False,1.3645277828183668,0.21394357478290504,0.7985454441966682,0.10338207600792756,0.8369267709296325,0.11087857456952771
8,0.3952824903316185,0.49037170835903715,0.3257502998624529,2.9983067289068734e-05,0.0002998254179114328,216.26294231414795,True,1.1879045047431156,0.13573396203561203,0.88154628153505,0.06421174274756414,0.9305492149961406,0.07329192694801893
9,0.3661065981036327,0.672428582395826,0.5074247717857361,2.9969901960448513e-05,0.00029968967883358983,242.33347702026367,True,1.1454532636856212,0.11979408568118612,0.8737002430085478,0.0726395829034986,0.9808464973753896,0.04883143059035601
10,0.34789383899970133,0.7637641940798078,0.6185674326760429,2.9952980967946045e-05,0.0002995152175660644,267.9251708984375,True,1.0980263846496057,0.0920892495662447,0.8829910689386828,0.05902542453225422,1.0189825436164592,0.035911374171983756
11,0.33881320205868265,0.8073228682790484,0.6775620153972081,2.9932308703405904e-05,0.00029930207939028844,293.5500087738037,True,1.007783227295711,0.10730430208649498,0.8818686941985426,0.04421715261618376,1.110348081013252,0.08756039913234606
12,0.32326396322641215,0.8267129063606262,0.7052680679730007,2.990789053231554e-05,0.0002990503196262878,319.5095555782318,True,0.8948690194097059,0.15980667456230818,0.8003131753822853,0.06702151216511407,1.3048178028649298,0.20688483075189293
13,0.31222751541215865,0.843318258013044,0.7296578543526786,2.987973279241265e-05,0.00029876000361832354,344.98848485946655,True,0.8542913379854169,0.25991409876251165,0.7100259099952105,0.1259647562876953,1.4356827517727326,0.3672086814295101
14,0.31265797356113056,0.8568365403584072,0.7500441159520831,2.9847842792040242e-05,0.00029843120671793215,370.60326409339905,True,0.7561508557714265,0.2878731155775389,0.6548030869662762,0.17039995200956448,1.5890460541022235,0.4410162124846023
15,0.29296165802439705,0.8670099718230111,0.7657201545579093,2.9812228808249737e-05,0.00029806401426436796,396.39074873924255,True,0.5820057514091505,0.290863802653282,0.5507655543602746,0.21941942610095114,1.8672286937668405,0.5073624078326677
16,0.28540320010458836,0.8754370723451886,0.7789091723305839,2.977290008465267e-05,0.0002976585215624534,421.94583654403687,True,0.671085426953846,0.32081939514494445,0.6219372289139649,0.2506951273830957,1.7069773468169673,0.5687508552283871
17,0.2838080698837999,0.88289874792099,0.7907645532063076,2.9729866829021498e-05,0.0002972148338578424,447.386278629303,True,0.5980107815692137,0.33577143417251515,0.5769311398139287,0.30240891747143805,1.825058078128716,0.6342652879432584
18,0.27696096188709385,0.8893464548247201,0.8011667898723057,2.9683140210640187e-05,0.000296733066309704,473.1602506637573,True,0.5396201642230153,0.28868860746872727,0.6311444541092577,0.4315216042815929,1.829235382568581,0.6928466977196114
19,0.26051644858766776,0.8943160176277161,0.8092814939362662,2.963273235740521e-05,0.00029621334396083305,498.59122014045715,True,0.4708200776352194,0.29978213056574,0.5154829813655595,0.3830389620829962,2.0136969355079506,0.6698720351620382
20,0.2617362041453846,0.897876671382359,0.8151154347828456,2.9578656352677758e-05,0.0002956558017051948,524.424298286438,True,0.4405355683804072,0.28982542002388934,0.4679431394089399,0.33098562877753646,2.091521293405315,0.6138112775286162
21,0.2583411958862524,0.8997987253325326,0.8183309435844421,2.952092623188796e-05,0.00029506058425291383,550.0249629020691,True,0.43837983379333184,0.29710773747059704,0.47112974952521,0.35286576000162184,2.0904904183411395,0.6405343281745377
22,0.2613301526327602,0.9020221488816398,0.8220782450267247,2.9459556978891967e-05,0.0002944278460927138,575.7167947292328,True,0.3750869972634547,0.27537692139139347,0.4311594441134868,0.38998962516692176,2.1937535600377056,0.6497475795867895
23,0.2491243801644591,0.9027985334396362,0.823398334639413,2.9394564522082912e-05,0.00029375775145182043,601.6928141117096,True,0.31100692367695015,0.24027683623348575,0.35219584078367416,0.32807709357255305,2.3367972350454536,0.5528224829486837
