variant,parameters,macs,gflops_2x_macs
Baseline,29190098,13601058240,27.20211648
+MSC,29572851,13645998240,27.29199648
+BSEI,29579763,13684470432,27.368940864
+Detail Branch,29604819,14452675232,28.905350464
+GDF,29601107,14343639712,28.687279424
+Deep Supervision,29601782,14344940704,28.689881408
