epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best
1,0.8734027811738311,0.023097398025648936,0.01168457671467747,4e-05,0.0004,30.30357813835144,True
2,0.5967281097072666,0.31133154034614563,0.18478610260146006,4e-05,0.0004,51.14131188392639,True
3,0.4120815728531509,0.32773928557123455,0.1964933169739587,4e-05,0.0004,72.08305644989014,True
4,0.383673864309905,0.530215893472944,0.3617306011063712,4e-05,0.0004,92.98370838165283,True
5,0.36468937797624557,0.7221801110676357,0.5655907903398786,4e-05,0.0004,113.73145890235901,True
6,0.3500922600753972,0.774686872959137,0.6325319920267377,4e-05,0.0004,134.5497133731842,True
7,0.3290758152477077,0.7991086755480085,0.6657481789588928,4e-05,0.0004,155.62110090255737,True
8,0.31633099131896847,0.815429823739188,0.6887229084968567,4e-05,0.0004,176.36015105247498,True
9,0.30710239708423615,0.8248962249074664,0.702363806111472,4e-05,0.0004,197.25556826591492,True
10,0.2996410370850172,0.8313499348504203,0.7118157063211713,4e-05,0.0004,217.9928915500641,True
11,0.2886853843438821,0.83535350220544,0.7177309053284782,4e-05,0.0004,238.78712368011475,True
12,0.2773762079047375,0.8379260471888951,0.7215482251984733,4e-05,0.0004,259.54238653182983,True
13,0.27161980359280696,0.8406923839024135,0.7256494249616351,4e-05,0.0004,280.40315556526184,True
14,0.2691193586978756,0.8438126700265067,0.730278057711465,4e-05,0.0004,301.2779641151428,True
15,0.271866287120053,0.8475938950266156,0.7359308770724705,4e-05,0.0004,322.0036253929138,True
16,0.2943171612063392,0.8513731956481934,0.7416138223239354,4e-05,0.0004,343.2411780357361,True
17,0.2766618110605928,0.8551997712680272,0.7474259734153748,4e-05,0.0004,364.9054698944092,True
18,0.26853575398687457,0.858715900353023,0.7527615768568856,4e-05,0.0004,386.46627497673035,True
19,0.2665649610953253,0.861782601901463,0.757437356880733,4e-05,0.0004,407.9783499240875,True
20,0.2553778622971206,0.8641081282070705,0.7610279406820025,4e-05,0.0004,429.8195869922638,True
21,0.25057801530986534,0.866171155657087,0.764240392616817,4e-05,0.0004,451.2605822086334,True
22,0.2423383703485864,0.8679137911115374,0.7670234782355172,4e-05,0.0004,472.8054778575897,True
23,0.2401948263410662,0.8697335294314793,0.7698629413332257,4e-05,0.0004,494.61415457725525,True
24,0.2349850918914451,0.8709695764950344,0.771778038569859,4e-05,0.0004,515.8444263935089,True
25,0.23128725612749818,0.8716447693961007,0.7728554776736668,4e-05,0.0004,537.6041450500488,True
26,0.22917649565172976,0.8735608117921012,0.7758845431464059,4e-05,0.0004,559.6887276172638,True
27,0.22008382443521843,0.8749622532299587,0.7780521426882062,4e-05,0.0004,580.9470164775848,True
28,0.21647550385506426,0.8767396637371608,0.780782835824149,4e-05,0.0004,602.5021481513977,True
29,0.22000184899470845,0.877674903188433,0.78225896188191,4e-05,0.0004,624.4886996746063,True
30,0.21742576189705584,0.8781781622341701,0.783078270299094,4e-05,0.0004,645.847635269165,True
31,0.21825905877058624,0.879944350038256,0.7858463185174125,4e-05,0.0004,667.5741786956787,True
32,0.21053212465809995,0.8832905718258449,0.7911417228834969,4e-05,0.0004,689.3687572479248,True
33,0.20595113273526802,0.8841339860643659,0.7925140942846026,4e-05,0.0004,710.648327589035,True
34,0.20572101801145273,0.8847395607403347,0.7935110586030143,4e-05,0.0004,732.2183392047882,True
35,0.19915648351113002,0.8846772738865444,0.793465222631182,4e-05,0.0004,753.9571487903595,False
36,0.19652666811083183,0.8853686196463448,0.7946440407208034,4e-05,0.0004,774.6399221420288,True
37,0.1996372813572649,0.8861311248370579,0.7958468283925738,4e-05,0.0004,796.2841975688934,True
38,0.19296706235799632,0.8859268852642604,0.7955485667501178,4e-05,0.0004,818.0629849433899,False
