epoch,train_loss,validation_dice,validation_iou,encoder_lr,decoder_lr,elapsed_seconds,is_best
1,0.9028412031716314,0.25739245116710663,0.14872294238635472,4e-05,0.0004,29.509772062301636,True
2,0.599363282567165,0.3148940695183618,0.18826507670538767,4e-05,0.0004,50.45774698257446,True
3,0.41391512458441687,0.42344043936048237,0.27051485010555815,4e-05,0.0004,71.70251154899597,True
4,0.37796040783162976,0.7029148510524205,0.5435766322272164,4e-05,0.0004,92.83359408378601,True
5,0.3618805818870419,0.7714547514915466,0.6291575687272208,4e-05,0.0004,113.7262134552002,True
